year,species,state,country,location.type,school
1980,black bear,British Columbia,Canada,nature,no
1980,black bear,Alberta,Canada,oil field,no
1980,brown bear,Montana,U.S.A.,nature,no
1980,brown bear,Alberta,Canada,nature,no
1980,brown bear,Montana,U.S.A.,nature,no
1980,brown bear,Montana,U.S.A.,nature,no
1982,polar bear,New York,U.S.A.,captive bear,no
1983,black bear,Quebec,Canada,nature,no
1983,black bear,Saskatchewan,Canada,nature,no
1983,black bear,Saskatchewan,Canada,nature,no
1983,brown bear,Montana,U.S.A.,nature,no
1983,polar bear,Manitoba,Canada,in town,no
1984,brown bear,Wyoming,U.S.A.,nature,no
1985,black bear,British Columbia,Canada,nature,no
1986,brown bear,Wyoming,U.S.A.,nature,no
1987,brown bear,Montana,U.S.A.,nature,no
1987,brown bear,Montana,U.S.A.,nature,no
1987,polar bear,New York,U.S.A.,captive bear,no
1988,brown bear,Alaska,U.S.A.,nature,no
1990,polar bear,Alaska,U.S.A.,in town,no
1991,black bear,Ontario,Canada,nature,no
1991,black bear,Alberta,Canada,nature,no
1992,black bear,Alaska,U.S.A.,home,no
1992,black bear,Ontario,Canada,nature,no
1992,brown bear,Montana,U.S.A.,nature,no
1992,brown bear,Alberta,Canada,nature,no
1992,brown bear,Alaska,U.S.A.,in town,no
1993,black bear,Colorado,U.S.A.,home,no
1994,black bear,British Columbia,Canada,home,no
1995,brown bear,British Columbia,Canada,nature,no
1995,brown bear,British Columbia,Canada,nature,no
1995,brown bear,Alaska,U.S.A.,nature,no
1995,brown bear,Alaska,U.S.A.,nature,no
1996,black bear,British Columbia,Canada,nature,no
1996,brown bear,Alaska,U.S.A.,nature,no
1996,brown bear,Yukon,Canada,nature,no
1997,black bear,British Columbia,Canada,nature,no
1998,brown bear,British Columbia,Canada,nature,no
1998,brown bear,Alberta,Canada,nature,no
1998,brown bear,Montana,U.S.A.,nature,no
1998,brown bear,Alaska,U.S.A.,nature,no
1999,brown bear,Alaska,U.S.A.,nature,no
1999,brown bear,Alaska,U.S.A.,nature,no
1999,polar bear,Nunuvut,Canada,nature,no
2000,black bear,Quebec,Canada,military base,no
2000,black bear,Tennessee,U.S.A.,nature,no
2000,brown bear,Alaska,U.S.A.,nature,no
2001,black bear,New Mexico,U.S.A.,home,no
2001,black bear,Northwest Territories,Canada,nature,no
2001,brown bear,Montana,U.S.A.,nature,no
2002,black bear,New York,U.S.A.,home,no
2002,black bear,Quebec,Canada,nature,no
2002,black bear,British Columbia,Canada,oil field,no
2003,brown bear,Alaska,U.S.A.,nature,no
2003,brown bear,Alaska,U.S.A.,nature,no
2005,black bear,Ontario,Canada,nature,no
2005,black bear,Manitoba,Canada,nature,no
2005,black bear,Northwest Territories,Canada,nature,no
2005,brown bear,British Columbia,Canada,nature,no
2005,brown bear,Alaska,U.S.A.,nature,no
2005,brown bear,Alberta,Canada,nature,no
2006,black bear,Tennessee,U.S.A.,nature,no
2006,brown bear,Yukon,Canada,nature,no
2007,black bear,British Columbia,Canada,nature,no
2007,black bear,Utah,U.S.A.,nature,no
2007,brown bear,Alberta,Canada,nature,no
2008,black bear,Quebec,Canada,nature,no
2008,brown bear,California,U.S.A.,captive bear,no
2008,brown bear,Alberta,Canada,nature,no
2009,black bear,Pennsylvania,U.S.A.,captive bear,no
2009,black bear,Colorado,U.S.A.,home,no
2010,black bear,Ohio,U.S.A.,captive bear,no
2010,brown bear,Montana,U.S.A.,nature,no
2010,brown bear,Wyoming,U.S.A.,nature,no
2011,black bear,Arizona,U.S.A.,country club,no
2011,black bear,British Columbia,Canada,home,no
2011,brown bear,Wyoming,U.S.A.,nature,no
2011,brown bear,Wyoming,U.S.A.,nature,no
2012,brown bear,Alaska,U.S.A.,nature,no
2012,brown bear,Alaska,U.S.A.,nature,no
2013,black bear,Alaska,U.S.A.,nature,no
2014,black bear,New Jersey,U.S.A.,nature,no
2014,black bear,Alberta,Canada,oil field,no
2014,brown bear,Northwest Territories,U.S.A.,nature,no
2014,brown bear,Alberta,Canada,nature,no
2014,brown bear,Wyoming,U.S.A.,nature,no
2015,black bear,British Columbia,Canada,nature,no
2015,brown bear,Wyoming,U.S.A.,nature,no
2016,brown bear,Montana,U.S.A.,nature,no
